"id","link","title_r"
1,"https://ezone.ulifestyle.com.hk/article/3394673","LG 可拉伸顯示屏 12 吋屏幕輕鬆延伸至 14 吋"
2,"https://ezone.ulifestyle.com.hk/article/3470206","【MWC2023】Motorola Rizr Rollable 捲屏機現身！活動捲屏藏視像鏡頭"
3,"https://ezone.ulifestyle.com.hk/article/3491523","傳 Samsung 今年推 Tri-Fold 新 Z 形摺屏手機形態"
